jogador_primario,jogador_secundario,arbitro,pecas_pretas,pecas_brancas,data_inicio,data_fim,vencedor,id,chave_campeonato,chave_salao
Player 83,Player 84,Referee 83,5,11,2023-04-04 19:28:21.862168,2023-04-04 20:28:21.862168,Player 84,83,Championship 83,Venue 83
Player 84,Player 85,Referee 84,15,1,2023-04-03 19:28:21.862189,2023-04-04 00:28:21.862189,Player 85,84,Championship 84,Venue 84
Player 85,Player 86,Referee 85,13,3,2023-04-02 19:28:21.862210,2023-04-02 20:28:21.862210,Player 85,85,Championship 85,Venue 85
Player 86,Player 87,Referee 86,13,3,2023-04-01 19:28:21.862232,2023-04-01 20:28:21.862232,Player 86,86,Championship 86,Venue 86
Player 87,Player 88,Referee 87,0,16,2023-03-31 19:28:21.862253,2023-03-31 21:28:21.862253,Player 88,87,Championship 87,Venue 87
Player 88,Player 89,Referee 88,5,11,2023-03-30 19:28:21.862274,2023-03-30 22:28:21.862274,Player 89,88,Championship 88,Venue 88
Player 89,Player 90,Referee 89,12,4,2023-03-29 19:28:21.862295,2023-03-29 21:28:21.862295,Player 89,89,Championship 89,Venue 89
Player 90,Player 91,Referee 90,13,3,2023-03-28 19:28:21.862316,2023-03-28 23:28:21.862316,Player 90,90,Championship 90,Venue 90
Player 91,Player 92,Referee 91,14,2,2023-03-27 19:28:21.862337,2023-03-27 21:28:21.862337,Player 92,91,Championship 91,Venue 91
Player 92,Player 93,Referee 92,15,1,2023-03-26 19:28:21.862357,2023-03-26 21:28:21.862357,Player 92,92,Championship 92,Venue 92
Player 93,Player 94,Referee 93,2,14,2023-03-25 19:28:21.862377,2023-03-25 20:28:21.862377,Player 93,93,Championship 93,Venue 93
Player 94,Player 95,Referee 94,10,6,2023-03-24 19:28:21.862414,2023-03-24 20:28:21.862414,Player 95,94,Championship 94,Venue 94
Player 95,Player 96,Referee 95,5,11,2023-03-23 19:28:21.862438,2023-03-23 20:28:21.862438,Player 95,95,Championship 95,Venue 95
Player 96,Player 97,Referee 96,6,10,2023-03-22 19:28:21.862461,2023-03-22 23:28:21.862461,Player 96,96,Championship 96,Venue 96
Player 97,Player 98,Referee 97,5,11,2023-03-21 19:28:21.862487,2023-03-22 00:28:21.862487,Player 98,97,Championship 97,Venue 97
Player 98,Player 99,Referee 98,6,10,2023-03-20 19:28:21.862512,2023-03-20 20:28:21.862512,Player 99,98,Championship 98,Venue 98
Player 99,Player 100,Referee 99,15,1,2023-03-19 19:28:21.862535,2023-03-19 20:28:21.862535,Player 100,99,Championship 99,Venue 99
Player 100,Player 101,Referee 100,5,11,2023-03-18 19:28:21.862561,2023-03-18 20:28:21.862561,Player 100,100,Championship 100,Venue 100
Player 101,Player 102,Referee 101,15,1,2023-03-17 19:28:21.862581,2023-03-17 21:28:21.862581,Player 102,101,Championship 101,Venue 101
Player 102,Player 103,Referee 102,6,10,2023-03-16 19:28:21.862603,2023-03-16 20:28:21.862603,Player 102,102,Championship 102,Venue 102
Player 103,Player 104,Referee 103,1,15,2023-03-15 19:28:21.862627,2023-03-15 20:28:21.862627,Player 104,103,Championship 103,Venue 103
Player 104,Player 105,Referee 104,14,2,2023-03-14 19:28:21.862645,2023-03-15 00:28:21.862645,Player 104,104,Championship 104,Venue 104
Player 105,Player 106,Referee 105,9,7,2023-03-13 19:28:21.862664,2023-03-13 22:28:21.862664,Player 106,105,Championship 105,Venue 105
Player 106,Player 107,Referee 106,12,4,2023-03-12 19:28:21.862683,2023-03-12 21:28:21.862683,Player 107,106,Championship 106,Venue 106
Player 107,Player 108,Referee 107,2,14,2023-03-11 19:28:21.862708,2023-03-11 21:28:21.862708,Player 107,107,Championship 107,Venue 107
Player 108,Player 109,Referee 108,6,10,2023-03-10 19:28:21.862720,2023-03-10 22:28:21.862720,Player 109,108,Championship 108,Venue 108
Player 109,Player 110,Referee 109,0,16,2023-03-09 19:28:21.862730,2023-03-09 22:28:21.862730,Player 109,109,Championship 109,Venue 109
Player 110,Player 111,Referee 110,3,13,2023-03-08 19:28:21.862741,2023-03-08 22:28:21.862741,Player 110,110,Championship 110,Venue 110
Player 111,Player 112,Referee 111,7,9,2023-03-07 19:28:21.862752,2023-03-08 00:28:21.862752,Player 112,111,Championship 111,Venue 111
Player 112,Player 113,Referee 112,14,2,2023-03-06 19:28:21.862764,2023-03-07 00:28:21.862764,Player 112,112,Championship 112,Venue 112
Player 113,Player 114,Referee 113,10,6,2023-03-05 19:28:21.862775,2023-03-05 23:28:21.862775,Player 114,113,Championship 113,Venue 113
Player 114,Player 115,Referee 114,1,15,2023-03-04 19:28:21.862786,2023-03-04 22:28:21.862786,Player 115,114,Championship 114,Venue 114
Player 115,Player 116,Referee 115,10,6,2023-03-03 19:28:21.862796,2023-03-03 20:28:21.862796,Player 115,115,Championship 115,Venue 115
Player 116,Player 117,Referee 116,10,6,2023-03-02 19:28:21.862807,2023-03-02 21:28:21.862807,Player 116,116,Championship 116,Venue 116
Player 117,Player 118,Referee 117,12,4,2023-03-01 19:28:21.862819,2023-03-02 00:28:21.862819,Player 117,117,Championship 117,Venue 117
Player 118,Player 119,Referee 118,12,4,2023-02-28 19:28:21.862830,2023-02-28 23:28:21.862830,Player 119,118,Championship 118,Venue 118
Player 119,Player 120,Referee 119,7,9,2023-02-27 19:28:21.862840,2023-02-27 22:28:21.862840,Player 119,119,Championship 119,Venue 119
Player 120,Player 121,Referee 120,5,11,2023-02-26 19:28:21.862851,2023-02-26 21:28:21.862851,Player 120,120,Championship 120,Venue 120
Player 121,Player 122,Referee 121,12,4,2023-02-25 19:28:21.862868,2023-02-25 22:28:21.862868,Player 122,121,Championship 121,Venue 121
Player 122,Player 123,Referee 122,9,7,2023-02-24 19:28:21.862878,2023-02-24 23:28:21.862878,Player 123,122,Championship 122,Venue 122
Player 123,Player 124,Referee 123,15,1,2023-02-23 19:28:21.862889,2023-02-23 23:28:21.862889,Player 124,123,Championship 123,Venue 123
Player 124,Player 125,Referee 124,3,13,2023-02-22 19:28:21.862900,2023-02-22 23:28:21.862900,Player 124,124,Championship 124,Venue 124
Player 125,Player 126,Referee 125,6,10,2023-02-21 19:28:21.862910,2023-02-21 22:28:21.862910,Player 126,125,Championship 125,Venue 125
Player 126,Player 127,Referee 126,11,5,2023-02-20 19:28:21.862955,2023-02-20 23:28:21.862955,Player 127,126,Championship 126,Venue 126
Player 127,Player 128,Referee 127,4,12,2023-02-19 19:28:21.862981,2023-02-19 20:28:21.862981,Player 127,127,Championship 127,Venue 127
Player 128,Player 129,Referee 128,6,10,2023-02-18 19:28:21.863003,2023-02-18 22:28:21.863003,Player 128,128,Championship 128,Venue 128
Player 129,Player 130,Referee 129,12,4,2023-02-17 19:28:21.863023,2023-02-17 23:28:21.863023,Player 129,129,Championship 129,Venue 129
Player 130,Player 131,Referee 130,10,6,2023-02-16 19:28:21.863043,2023-02-16 20:28:21.863043,Player 131,130,Championship 130,Venue 130
Player 131,Player 132,Referee 131,12,4,2023-02-15 19:28:21.863063,2023-02-15 22:28:21.863063,Player 132,131,Championship 131,Venue 131
Player 132,Player 133,Referee 132,9,7,2023-02-14 19:28:21.863083,2023-02-14 22:28:21.863083,Player 133,132,Championship 132,Venue 132
Player 133,Player 134,Referee 133,2,14,2023-02-13 19:28:21.863103,2023-02-13 23:28:21.863103,Player 134,133,Championship 133,Venue 133
Player 134,Player 135,Referee 134,11,5,2023-02-12 19:28:21.863124,2023-02-12 21:28:21.863124,Player 135,134,Championship 134,Venue 134
Player 135,Player 136,Referee 135,11,5,2023-02-11 19:28:21.863144,2023-02-11 20:28:21.863144,Player 135,135,Championship 135,Venue 135
Player 136,Player 137,Referee 136,13,3,2023-02-10 19:28:21.863164,2023-02-10 22:28:21.863164,Player 136,136,Championship 136,Venue 136
Player 137,Player 138,Referee 137,2,14,2023-02-09 19:28:21.863189,2023-02-09 23:28:21.863189,Player 138,137,Championship 137,Venue 137
Player 138,Player 139,Referee 138,13,3,2023-02-08 19:28:21.863208,2023-02-09 00:28:21.863208,Player 138,138,Championship 138,Venue 138
Player 139,Player 140,Referee 139,4,12,2023-02-07 19:28:21.863219,2023-02-08 00:28:21.863219,Player 139,139,Championship 139,Venue 139
Player 140,Player 141,Referee 140,1,15,2023-02-06 19:28:21.863230,2023-02-07 00:28:21.863230,Player 140,140,Championship 140,Venue 140
Player 141,Player 142,Referee 141,15,1,2023-02-05 19:28:21.863241,2023-02-06 00:28:21.863241,Player 142,141,Championship 141,Venue 141
Player 142,Player 143,Referee 142,1,15,2023-02-04 19:28:21.863252,2023-02-04 20:28:21.863252,Player 143,142,Championship 142,Venue 142
Player 143,Player 144,Referee 143,2,14,2023-02-03 19:28:21.863265,2023-02-03 22:28:21.863265,Player 143,143,Championship 143,Venue 143
Player 144,Player 145,Referee 144,7,9,2023-02-02 19:28:21.863291,2023-02-03 00:28:21.863291,Player 144,144,Championship 144,Venue 144
Player 145,Player 146,Referee 145,5,11,2023-02-01 19:28:21.863310,2023-02-02 00:28:21.863310,Player 146,145,Championship 145,Venue 145
Player 146,Player 147,Referee 146,13,3,2023-01-31 19:28:21.863321,2023-01-31 23:28:21.863321,Player 146,146,Championship 146,Venue 146
Player 147,Player 148,Referee 147,15,1,2023-01-30 19:28:21.863332,2023-01-30 22:28:21.863332,Player 147,147,Championship 147,Venue 147
Player 148,Player 149,Referee 148,1,15,2023-01-29 19:28:21.863343,2023-01-29 21:28:21.863343,Player 149,148,Championship 148,Venue 148
Player 149,Player 150,Referee 149,12,4,2023-01-28 19:28:21.863354,2023-01-28 20:28:21.863354,Player 149,149,Championship 149,Venue 149
Player 150,Player 151,Referee 150,11,5,2023-01-27 19:28:21.863365,2023-01-27 23:28:21.863365,Player 151,150,Championship 150,Venue 150
Player 151,Player 152,Referee 151,3,13,2023-01-26 19:28:21.863375,2023-01-26 23:28:21.863375,Player 152,151,Championship 151,Venue 151
Player 152,Player 153,Referee 152,6,10,2023-01-25 19:28:21.863386,2023-01-25 21:28:21.863386,Player 152,152,Championship 152,Venue 152
Player 153,Player 154,Referee 153,7,9,2023-01-24 19:28:21.863397,2023-01-24 21:28:21.863397,Player 153,153,Championship 153,Venue 153
Player 154,Player 155,Referee 154,3,13,2023-01-23 19:28:21.863407,2023-01-23 22:28:21.863407,Player 155,154,Championship 154,Venue 154
Player 155,Player 156,Referee 155,3,13,2023-01-22 19:28:21.863417,2023-01-22 23:28:21.863417,Player 155,155,Championship 155,Venue 155
Player 156,Player 157,Referee 156,3,13,2023-01-21 19:28:21.863428,2023-01-21 23:28:21.863428,Player 156,156,Championship 156,Venue 156
Player 157,Player 158,Referee 157,9,7,2023-01-20 19:28:21.863439,2023-01-20 23:28:21.863439,Player 158,157,Championship 157,Venue 157
Player 158,Player 159,Referee 158,13,3,2023-01-19 19:28:21.863466,2023-01-19 20:28:21.863466,Player 158,158,Championship 158,Venue 158
Player 159,Player 160,Referee 159,5,11,2023-01-18 19:28:21.863476,2023-01-18 20:28:21.863476,Player 160,159,Championship 159,Venue 159
Player 160,Player 161,Referee 160,14,2,2023-01-17 19:28:21.863494,2023-01-18 00:28:21.863494,Player 161,160,Championship 160,Venue 160
Player 161,Player 162,Referee 161,11,5,2023-01-16 19:28:21.863510,2023-01-16 20:28:21.863510,Player 161,161,Championship 161,Venue 161
Player 162,Player 163,Referee 162,6,10,2023-01-15 19:28:21.863526,2023-01-16 00:28:21.863526,Player 163,162,Championship 162,Venue 162
Player 163,Player 164,Referee 163,5,11,2023-01-14 19:28:21.863541,2023-01-15 00:28:21.863541,Player 164,163,Championship 163,Venue 163
Player 164,Player 165,Referee 164,10,6,2023-01-13 19:28:21.863558,2023-01-13 20:28:21.863558,Player 165,164,Championship 164,Venue 164
Player 165,Player 166,Referee 165,14,2,2023-01-12 19:28:21.863574,2023-01-12 23:28:21.863574,Player 166,165,Championship 165,Venue 165
Player 166,Player 167,Referee 166,12,4,2023-01-11 19:28:21.863589,2023-01-11 21:28:21.863589,Player 166,166,Championship 166,Venue 166
Player 167,Player 168,Referee 167,4,12,2023-01-10 19:28:21.863605,2023-01-11 00:28:21.863605,Player 168,167,Championship 167,Venue 167
Player 168,Player 169,Referee 168,13,3,2023-01-09 19:28:21.863634,2023-01-09 22:28:21.863634,Player 169,168,Championship 168,Venue 168
Player 169,Player 170,Referee 169,15,1,2023-01-08 19:28:21.863658,2023-01-08 21:28:21.863658,Player 170,169,Championship 169,Venue 169
Player 170,Player 171,Referee 170,13,3,2023-01-07 19:28:21.863676,2023-01-07 23:28:21.863676,Player 170,170,Championship 170,Venue 170
Player 171,Player 172,Referee 171,8,8,2023-01-06 19:28:21.863696,2023-01-07 00:28:21.863696,Player 171,171,Championship 171,Venue 171
Player 172,Player 173,Referee 172,3,13,2023-01-05 19:28:21.863715,2023-01-05 23:28:21.863715,Player 172,172,Championship 172,Venue 172
Player 173,Player 174,Referee 173,7,9,2023-01-04 19:28:21.863733,2023-01-05 00:28:21.863733,Player 174,173,Championship 173,Venue 173
Player 174,Player 175,Referee 174,14,2,2023-01-03 19:28:21.863749,2023-01-03 21:28:21.863749,Player 174,174,Championship 174,Venue 174
Player 175,Player 176,Referee 175,1,15,2023-01-02 19:28:21.863769,2023-01-02 22:28:21.863769,Player 176,175,Championship 175,Venue 175
Player 176,Player 177,Referee 176,2,14,2023-01-01 19:28:21.863784,2023-01-01 22:28:21.863784,Player 177,176,Championship 176,Venue 176
Player 177,Player 178,Referee 177,0,16,2022-12-31 19:28:21.863800,2022-12-31 20:28:21.863800,Player 177,177,Championship 177,Venue 177
Player 178,Player 179,Referee 178,16,0,2022-12-30 19:28:21.863815,2022-12-31 00:28:21.863815,Player 178,178,Championship 178,Venue 178
Player 179,Player 180,Referee 179,4,12,2022-12-29 19:28:21.863831,2022-12-29 21:28:21.863831,Player 179,179,Championship 179,Venue 179
Player 180,Player 181,Referee 180,7,9,2022-12-28 19:28:21.863849,2022-12-28 23:28:21.863849,Player 181,180,Championship 180,Venue 180
Player 181,Player 182,Referee 181,4,12,2022-12-27 19:28:21.863866,2022-12-27 20:28:21.863866,Player 182,181,Championship 181,Venue 181
Player 182,Player 183,Referee 182,12,4,2022-12-26 19:28:21.863883,2022-12-27 00:28:21.863883,Player 183,182,Championship 182,Venue 182
Player 183,Player 184,Referee 183,1,15,2022-12-25 19:28:21.863902,2022-12-26 00:28:21.863902,Player 183,183,Championship 183,Venue 183
Player 184,Player 185,Referee 184,10,6,2022-12-24 19:28:21.863923,2022-12-24 23:28:21.863923,Player 185,184,Championship 184,Venue 184
Player 185,Player 186,Referee 185,7,9,2022-12-23 19:28:21.863939,2022-12-23 20:28:21.863939,Player 185,185,Championship 185,Venue 185
Player 186,Player 187,Referee 186,3,13,2022-12-22 19:28:21.864057,2022-12-22 23:28:21.864057,Player 186,186,Championship 186,Venue 186
Player 187,Player 188,Referee 187,4,12,2022-12-21 19:28:21.864081,2022-12-21 20:28:21.864081,Player 187,187,Championship 187,Venue 187
Player 188,Player 189,Referee 188,4,12,2022-12-20 19:28:21.864099,2022-12-20 20:28:21.864099,Player 188,188,Championship 188,Venue 188
Player 189,Player 190,Referee 189,4,12,2022-12-19 19:28:21.864117,2022-12-19 22:28:21.864117,Player 189,189,Championship 189,Venue 189
Player 190,Player 191,Referee 190,3,13,2022-12-18 19:28:21.864134,2022-12-18 21:28:21.864134,Player 190,190,Championship 190,Venue 190
Player 191,Player 192,Referee 191,9,7,2022-12-17 19:28:21.864152,2022-12-17 21:28:21.864152,Player 191,191,Championship 191,Venue 191
Player 192,Player 193,Referee 192,4,12,2022-12-16 19:28:21.864169,2022-12-17 00:28:21.864169,Player 192,192,Championship 192,Venue 192
Player 193,Player 194,Referee 193,8,8,2022-12-15 19:28:21.864187,2022-12-15 22:28:21.864187,Player 193,193,Championship 193,Venue 193
Player 194,Player 195,Referee 194,0,16,2022-12-14 19:28:21.864204,2022-12-14 22:28:21.864204,Player 195,194,Championship 194,Venue 194
Player 195,Player 196,Referee 195,3,13,2022-12-13 19:28:21.864221,2022-12-13 20:28:21.864221,Player 196,195,Championship 195,Venue 195
